structure	total_dataset	chosen
match (n1)-[r1]->(n0), (n0)-[r1]->(n0), (n1)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(n0), (n2)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(n0), (n1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=6,ops=0]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(c1), (n0)-[r0]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(c1), (n0)-[r0]->(n0), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	1	1
match (n0)-[r1]->(n0) WHERE[cond=4,ops=0]	1	1
match (n1)-[r1]->(n0) WHERE[cond=1,ops=2]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=1]	1	1
match (n0)-[r1]->(n1), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	1	1
match (n1)-[r1]->(n0), (n1)-[r1]->(n0) WHERE[cond=2,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r0]->(n0), (n0)-[r0]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(n0) WHERE[cond=2,ops=3]	1	1
match (n1)-[r0]->(n0) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(c1) WHERE[cond=3,ops=2]	1	1
match (n0)-[r0]->(n0), (n0)-[r0]->(n0) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(n0), (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(n1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n1)-[r1]->(c1), (n1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[cond=1,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[cond=1,ops=1]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[cond=1,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[cond=2,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[cond=2,ops=1]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[cond=2,ops=1]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=3,ops=1]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=3,ops=1]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=4,ops=1]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=4,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=3,ops=0]	1	1
match (n1)-[r1]->(n1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=1,ops=2]	1	1
match (n0)-[r0]->(n0), (n0)-[r0]->(n0) WHERE[cond=1,ops=2]	1	1
match (n0)-[r0]->(n0), (n1)-[r0]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=3,ops=0]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=4,ops=0]	1	1
match (n1)-[r1]->(c1) WHERE[cond=5,ops=0]	1	1
match (n0)-[r1]->(n0) WHERE[cond=3,ops=3]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=1]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=3,ops=0]	1	1
match (n1)-[r1]->(n1) WHERE[cond=2,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=4,ops=0]	1	1
match (n0)-[r1]->(n1) WHERE[cond=2,ops=1]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n1)-[r1]->(n0) WHERE[cond=1,ops=1]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=2]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=2,ops=3]	1	1
match (n0)-[r1]->(c1), (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=3]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	1	1
match (c1)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=1]	1	1
match (n0)-[r0]->(n2) WHERE[none]	1	1
match (n0)-[r0]->(n0), (n0)-[r0]->(c1), (c1)-[r0]->(n0) WHERE[none]	1	1
match (c1)-[r0]->(n0), (n0)-[r0]->(n0), (n0)-[r0]->(c1), (n0)-[r0]->(n0) WHERE[none]	1	1
match (n0)-[r0]->(n0), (n0)-[r0]->(n0), (n0)-[r0]->(c1), (n0)-[r0]->(n0), (c1)-[r0]->(n0) WHERE[none]	1	1
match (n0)-[r0]->(n0), (n0)-[r0]->(n0), (n0)-[r0]->(c1), (n0)-[r0]->(n0), (c1)-[r0]->(n0), (n0)-[r0]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	1	1
match (c1)-[r1]->(n1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r0]->(n0), (n0)-[r0]->(c1) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=4,ops=0]	1	1
match (n2)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[cond=1,ops=1]	1	1
match (n1)-[r1]->(n1) WHERE[cond=2,ops=1]	1	1
match (n1)-[r1]->(n1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n1)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=4,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=5,ops=1]	1	1
match (n0)-[r1]->(c1), (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=4,ops=0]	1	1
match (n0)-[r1]->(n0), (c1)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (c1)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=1,ops=1]	1	1
match (n0)-[r0]->(n0) WHERE[cond=3,ops=0]	1	1
match (n1)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[cond=2,ops=0]	1	1
match (n0)-[r1]->(c1), (n1)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[cond=2,ops=0]	1	1
match (n1)-[r1]->(n1), (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(n0), (n1)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[cond=2,ops=0]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[cond=2,ops=0]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=2]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=2]	1	1
match (n2)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n0)-[r1]->(n1), (n0)-[r1]->(n1) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=3,ops=0]	1	1
match (c1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (c1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (c1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (c1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
